Topic,Count,Name,Representation,Representative_Docs
-1,6321,-1_file_not_server_run,"['file', 'not', 'server', 'run', 'use', 'drive', 'need', 'window', 'system', 'work']","['user boot laptop log wireless not connect map drive software open not detect file bc not map user not work \n  bring suggestion unc path software instal connect map drive password prompt time open software login approach domain environment \n software run server window client w file share share db folder laptop client drive map software instal vendor recommend setup \n software support unc path use add network place group policy user configuration   preference   shortcut \n easily tell user black box disappear connect originally stop work reason reason user change password probably see come fix create specific resource account give permission require share \n hope desktop appear user experience standpoint desktop ready \n alternatively user start software powershell script appropriate action andor sanity check start software \n local group policy ability drive map gpp end powershell script \n think get powershell login script detect wireless connect map drive follow say laptop stop work assume break user start software manually log m go tell computer double click z drive manually initiate mapping start software make look bad', 'need   copy database   kind application host   near realtime synchronization database good \n scratch surface website honestly believe traffic require load balanced configuration find know system thing help \n describe database point view mastermaster replication scheme note probably mean need sql enterprise edition license server not cheap   able express edition probably standard try implement app logic complex worm server vlan dc server access master db request need write read individual dbs readonly request   dine masterslave replication easy potentially cheap prospect essentially farm sql database machine hard farm web server access database \n m guess phrase purchase   virtual server host company ok let assume s true honestly well database server web server limited   think have traffic require web server server run database server   web server yes want code server \n scale application multiple server performance high availability geographical locality combination simple task \n simple way load balance roundrobin dns simple quick hard setup ok job spread load   base question m make assumption skill level recommend starting point \n easy way pass request different web server situation describe https request carry state need hold serverside session not need like sticky session use roundrobin dns have multiple record relevant account server solution high availability little control balance not decide machine get hit reduce hit server busy ha control balancing need extra machine request decide real web server get hit \n point web server single database server   scalingout sql server way ve describe take lightly   definitely will not consider quick   simple setup \n want web server database server purchase server run active active mode database   update send master replication propagate change slave', 'question ask worth trouble user not change background picture access command prompt small organization answer probably not supervisor demand implement restriction   user way save anybody time   argument want enforce rule ll buy proper tool possible \n oddly ask reason pc join domain pretty ask os digress   manually join domain log computer change local admin password  \n home version window design centrally manage   window   winx novell netware see year \n swing window   pro license not want pay window server license pricey s option samba domain controller give functionality ask   essentially ability set group policy run linux lot option internet filtering run linux \n ll want check group policy setting reference window give comprehensive list group policy setting use restrict user desktop action include   importantly   registry setting restriction problem \n alternative look windows small business server chunk change ask rethink decision   mind lock computer ll pretty login computer update single component like flash   time user log ll present flash update dialog try update cancel cause not admin right   continue time log machine    \n go set server m surprised not   pc office \n yes possible limitation have home edition window hopefully document good place start think go way trouble worth \n organization not afford window   professional license try spin solution likely cost longterm development support time wish try solution ve   computer probably doable   ll painful organization grow ll suck \n route ultimately have centrally manage system active directory go far easy try jerryrig functionality builtin professional version window option \n humm think fast way   save registry edit group policy editor merge computer   dangerous yes   free \n use group policy editor change current setting computer   computer   rinse repeat   computer']"
0,547,0_email_mail_exchange_outlook,"['email', 'mail', 'exchange', 'outlook', 'send', 'mailbox', 'message', 'smtp', 'spam', 'mx']","['information successfully answer question email simple place wrong information multiple possibility google simply deliver email have recipient domain set local mail exchanger \n error information go wrong look line     show error planning try want check etclocaldomain sure receive domain accept remote server line   contain c section response remote server assume start   status accept proceed contact host log entry ask check happen email status include email d receipt number use track email \n go discussion troubleshoot issue presume command line access knowledge need ask host help \n check log mail log locate varlogeximmainlog easy thing assume little mail traffic server tail f log watch send want grep log email address entry email d timestamp search log d list log line pertain email find error find email send \n want pay attention ip address email send sure correct guess situation problem way domain setup server send probably notice mention send email successfully mail actually reject likely receive bounce email way know sure check log', 'go learn packet capture mta write need debugging \n reason email block reject   email design way not disappear   deliver mailbox queue bounce sender   host host b mta log attempt delivery result attempt   m assume probably not access host b mta log   ll need figure trouble shoot \n good way start track guy host b get email generate cms \n problem hop not like email   bad header mess mime encode etc trigger reject bounce email take possibly malicious not follow relevant rfc email format \n catch application cms network email server preferred choice email server desiginate postoffice domain hand application access relay email mail server smtp service note following \n user network sender address eg noreplyyourcompanycom allow send user not ask email admin trace email s send mail server \n chance problem downstream host   log access   try look maillog mta cms system secondary mta system accessible smtp relay     ok status delivery mail remote host b   successfully deliver message   need detail error log tell \n cms server host people send receive email problem s check spam filter test send email host problem \n get   ok send type status end thing client host b talk service provider isp department ask happen email   remote site log tell story bounce email \n web app bit tricky bc send email simple smtp app library blindly attempt deliver email good effort approach   not queue deal delivery issue   simple grey listing cause delivery failure \n email generate cms go people different host person host get email second host b \n smtp send directly external user need sure ippublic clear blacklist sure correct ptr record setup reverse dns mail server heavens sake turn relay \n send mail email server smtp service email send application like cms usual choice deliver email \n information cms try send email mtasmtp application probably point log file look   linux varlogmaillog good place start \n case person host network cms heshe mail host b separate network host b mail server reverse lookup unable determine smtp legit mail server need proper mx setup \n bad come bad packet capture conversation look like host host b   smtp send clear text wireshark easily read exchange server \n issue field blank fix not email', 'case ve describe mail originate mail server affect mail server reputation \n big provider like gmail hotmail etc check spf record use result help receive lot bounce mention kill lot spam \n spf record allow mail server configure check reject message mark spam mail server check spf record check not actually result \n recently open server webmaster email inbox find   delivery status notification fail email report failure delivery   email send \n question spammer attempt impersonate mail server impact mail server reputation add blacklist unable send email certain domain \n investigation determine ip address attempt impersonate web server send email random email address not exist mail server']"
1,463,1_code_function_class_method,"['code', 'function', 'class', 'method', 'variable', 'return', 'array', 'string', 'value', 'loop']","['fact use variable have hand tell deal aggregate datum item instead independent piece datum s true treat score single item \n clear short avoid problem change text message not text message change \n main code pass variable playgame code code return datum item tuple unpack variable \n clear screen show summary game play play round game \n consider python fstring code pretty compact form code compare horror strformat writing \n note string substitution hard s wrong have array totally spell message give bit flavor customize verbs \n logic apply result instead call function name result playonce onegame obvious code main go function not match nature step execute \n compplay return immediately instead set variable return end slightly controversial replace randomrandintifelifelse randomchoice \n true   break rewrite use boolean variable s supercritical value variable determine single location consider break equivalent case \n comparison    acceptable s detail function playagain care detail not ask question interpret answer questionasking code handle interpretation obviously playagain short want play   valid answer true false valid answer code look like \n not think need hoist fstring calling function think pass win lose parameter decide win lose separate function instead \n welcome lot good thing program notsogood good \n s significant ifthen statement decide win lose pass resultsmsg function string parameter result string parameter substitute give information know player win lose \n notice ask player choose rock paper scissor allow type answer give yesno question require selection     s consistently surprising run code want type answer keep hit y play \n note appear conflict code structure show code structure choose treat result datum code m say use datum use code m say pick stick determine outcome code ahead hardcode outcome determine outcome datum ahead treat datum \n suggest present rockpaperscissor option menu present yesno option string input look y n make interface consistent improvement \n startingscore return   load savedgame file make initialization sufficiently abstract spell \n let break line key point want neighboring statement similar level abstraction \n point play game collection abstract statement notice m treat score opaque blob not need deal pass low level data item describe update \n check type action player set input lowercase not case correct \n class global appropriate scenario imo stick variable initialization suggest consistent update variable game', 'thing stand immediately structure program improve type problem highly amenable class member track state method manipulate state bit like code add attribute createhangman function clear class generally speak keep track state global variable hard reason flow program function execution depend global variable function twice parameter different result track d examine code code relevant function \n interestingly note execute function attribute not exist not go problem program question good aware \n s couple change generally speak string not need rangelenmystre iterate string directly ve change alreadyguessed data type set s want \n thing notice documentation code add docstring beneficial \n function attribute define save state lot explicit use class class look like \n recommend add line space congratulation pick letter type n print statement like success mention add word help alot use list game long actually replayability use randomchoicethe list select random element list word use lenvariable number   need know exactly input work guess list variable loop notice use n code recommend need add guess letter whisch easy use \n note ve add parameter word instantiate program different word list fairly easily use randomchoice pick random word list state need run program remove global variable example secret long need', 'class lack api interface extend make hard know use documentationdoccomment make hard use need doccomment public scope method integration easy \n big problem code aside regex inconsistency template property set follow snippet property change time look like happen twice way fine consistent not think right wrong maybe way reusable sort like situation echo return early \n not go constructor need remove say probably find rarely base class extend usually interface abstract class need constructor ve give couple suggestion \n generally avoid output text directly make code reusable let application class determine want datum change echos return \n experience s fine popular templating engine try compete not go easy probable sorry blunt truth not expect big say profile engine compare market consider let know want continue development need drawing board \n tidy method error tidy class not exist attempt return string not set appropriate return early default string throw error \n not know proper procedure function php use reference automatically populate variable provide argument not use typically function reference variable declare not think wrong confuse m say need change let know unnecessary declare match array \n regex slow option especially html consider load html dom manipulate d shot profile check difference d willing bet d improvement speed legibility regex bad eye \n not go use value portion foreach loop loop array key s need null value additionally ntmp not use acronym obscure reference variablesfunction extremely common php html etc code hard read strive selfdocumente code sort go advice give magically access array \n null value essentially set mean default value null not necessary isset check determine hand useful callback check false value false null etc commonly determine array check string null use isset isnull query variable directly need use function benefit function code little efficient slightly fast negligible little clean parenthesis clutter statement \n access array element magically match    confuse idea come decision use   choose use   later familiar formula regex function not know use regular user probably not go know s go way fix easy use list label element array use general array function arrayshift arraypop abstract desire element final way assume array associative use extract dump array local variable scope key correspond new variable obviously will not work \n inline cssjs slow filegetcontent dump file directly html force browser load style script time page load strongly urge people use external script style browser cache instead read file verify exist use external script style tag include \n continuously scrape html regex find way probably notice immediate improvement performance templating language begin dollar sign   probably scrape array loop say array determine method need run']"
2,366,2_dns_domain_record_zone,"['dns', 'domain', 'record', 'zone', 'nameserver', 'server', 'ip', 'registrar', 'resolve', 'address']","['scenario   pc get need ip address network mask router dns server router scenario   pc get need ip address network mask router router override dns server use router tell pc dns server use pc ignore use one configure \n client need ip address google search engine ask bind server configure network config workstation   bind server know google ip range ips inquire   google bind server   cache answer need know google ip google bind server hit time need ip \n server ip address load balancer spread request farm \n change dns server pc affect pc pc router change dns server router affect router pc learn dns server router \n sure google dns fast hope good provider know profit short way router isps dns server way totally control isp optimize want check dns fast use namebench \n reason probably good live country censorship andor dns filtering dns name blacklist resolve isp isp choice legal reason case google dns claim uncensoredunfiltered good alternative internet access course work country isp oblige filter traffic fromto google dns \n router know dns server isp router use dhcp talk isp ip address   dns server isp tell router use dns server pc router allow provide alternate dns server override \n second reason secure dns depend isp dns server \n answer yes os use dns server tell   modem give dns server isp serve client dhcp client free ignore tham use alternative server wish \n yes dns service choice choose dns want end user create static dns host \n way doubt speed relevant dns resolving take millisecond pc resolve ip address cache information time second dns resolve request second later result packet send dns server list cache dns name want start cmdexe enter ipconfig displaydns', 'record type record exist dns matter context list \n thing configure dns server word ve configure dns     configure field server \n come cname let point dns ip address \n leave control dns domain registrar set dns record   ve give detail record set website want set record ftp mail   main difference ll approach \n ultimately end record tell answer type dns record website point host web server result website accessible domain \n good answer not think answer question particularly clearly \n version   use registrar dns server configure record pointing host web server \n yes generally configure ys dns server probably set record \n hope sense   little hard explain scratch wiki page explain fundemental dns \n getting confuse terminology not help host provider unclear friendly language \n sensible thing depend registrar lose bit flexibility create subdomain registrar charge extra service andor change zone datum \n provider offer dns service host registrar point dns server n point host new provider provide dns server option service separately registrar point ns ask registrar configure record directly remove need separate dns server domain \n registrar technical service typically consist run dns server hand ns record pointing dns server configure record name resolvable \n hand control dns domain host host dns server set record need eg record domain not need worry set individual record   wwwyourdomaincom point website ftpyoudomaincom probably point address ftp mail set etc', 'want split brain dns actually host zone internally suggest host zone internally problematic not want user internal ip work home not sense home get ip different dhcp server not go advertise internal dns server go advertise isps dns server know external zone provide external ip address \n careful populate internal zone name need public ip address need internal client wil unable resolve name \n setup impact external client user temporarily outside network internal shadow zone visible internet \n safely create zone internal dns server public internet zone happen server handle request name zone datum instead forward request authoritative server zone call shadow make real public zone unavailable internal client answer instead fake data \n wes m sure dinge d like clarify use host file host file dns client resolver component dns server component entry host file dns server dns server acting dns client instance entry wk dns servers host file like \n dns client query dns server real answer host entry dns servers dns client cache server dns client dns server component \n load dns servers dns client cache server cache ping testtestcom dns server return   expect run nslookup dns server ask testtestcom return correct public ip address register testtestcom dns client component dns server ask dns server component resolution way dns client confusing idea wrap head dns server dns client dns client component call action act dns client look dns client cache include entry preloade host file dns client component use dns server component query dns server configure tcpip property point dns server cache populate correct information \n far know way window dns use host file handle resolution need \n solve need wwwnlscancom inside internal zone point real public ip address want client access way use redirecting mailnlscancom www forward firewall internal server \n finally not think ll success ask dns server serve record host file dns server dns server serve record zone file local host file dns server propagate entry local client resolve cache applicable lookup machine entry not serve dns server different mechanism \n desire internal user internal ip resource external user external ip resource common refer split brain dns dns server face internet internal dns server local user internal user use dhcp network dhcp server advertise internal dns server user away office dhcp server assign dns server know external zone \n want internal client resolve mailnlscancom   s ok create nlscancom zone internal dns server mailnlscancom    \n nevermind hostfile add new zone dns maildomaincom add host zone leave blank automatically use zone enter ip address local mail server \n internal client not resolve wwwnlscancom server think authoritative zone will not answer query not know host will not forward']"
3,346,3_model_feature_training_train,"['model', 'feature', 'training', 'train', 'dataset', 'classification', 'neural', 'datum', 'predict', 'regression']","['crossvalidation intend replace need test set provide unbiased estimate model performance usually bother have test set crossvalidation large dataset generally recommend split traintest use crossvalidation \n validation set set label example training phase actually train model way example build model iterative process like gradient descent neural network use validation set decide stop iterate performance training set improve training step eventually overfit produce poor prediction unseen datum scenario test model validation set detect overfitte occur \n test set hand evaluate model training complete optimise training performance validation set mean slightly biased finally test truly heldout set label datum evaluate performance model \n goal obtain accurate estimate model performance crossvalidation produce unbiased model prediction example dataset use prediction compute metric like accuracy log loss training dataset actually build model use entire dataset crossvalidation', 'neural network model divide layer layer connect link call weight training process begin layer adjust weight layer try detect feature help layer processingthe key point note not explicitly tell layer learn detect edge eye nose facesthe model learn itselfunlike classical machine learning model \n topology neural network organize layer connect nice property map lowlevel representation datum higherlevel representation train network decide datum matter datum not particularly interesting computer vision natural language processing hard manually select engineer robust feature \n example let assume want classify cat picture deep neural net feed raw pixel value map set weight layer weight map weight second layer layer allow weight map number represent problem ex case probability picture contain cat \n okay think like machine learn algirithm linear regression random forest algorithm set feature target try minimize cost function not learn new feature learn weight come deep learning atleast hidden layer set number unit feature talk deep learning algorithm not learn set weight process learn value hide unit complex high level feature trivial datum give practice vanilla machine learn lot expertise lie ability engineer feature algorithm not learn hope answer question \n good feature vector contain feature distinctive datum point different label consistent datum point label \n unsupervise feature learning process model select feature automatically training \n addition himanshu rai say deep learning subfield involve use neural networksthese neural network try learn underlying distribution modify weight layer \n possible thank network topology organize layer mapping input new representation data \n conceptually main difference traditional shallow machine learning deep learning unsupervised feature learning \n research area deep learning subfield machine learning machine learning subfield artificial intelligence \n know successfully train traditional machine learning model ex svm xgboost possible suitable preprocessing judicious feature extraction select meaningful information data \n feature engineering process manual feature selection expert important tedious tak perform \n deep neural network solve nonlinearly separable problem bend feature space feature linearly separable \n lastly deep neural network surpass traditional machine learn algorithm domain architecture showcase statistical invariance ex spacial statistical invariance convolutional neural network temporal statistical invariance recurrent neural network \n deep neural network perform unsupervised feature learn not prevent feature engineering well represent problem unsupervise feature learn feature extraction feature engineering mutually exclusive', 'not training datum want datum training set possible   case leave crossvalidation   like kfold nfold n number observation mean hold observation build model validate sample repeat n time \n main criterion need datum training set good model fit   function data quantity model complexity \n datum simple model use loose validation strategy example million record linear regression predictor away thousand sample build model ll good parameter estimate thousand sample few \n personally pick low value k m model exploration high value m ready validation good candidate model   actually case set   training set validation set use find good set parameter second validation set ve hold entire time way validation set help train model parameter \n extreme suggestion ve see live inbetween   pick high k build lot model take time model build datum good complex model   pick low k build few model model build datum']"
4,201,4_shader_texture_render_vertex,"['shader', 'texture', 'render', 'vertex', 'light', 'pixel', 'draw', 'opengl', 'buffer', 'coordinate']","['tricky d situation probably want quad draw stencil buffer track pixel draw screen second draw disable depth testing use stencil buffer clip pixel allow draw not draw close object depth testing disable \n fragment shader pick color color alphablend manually x   like test \n alternately use glpolygonoffset force second quad draw pretend slightly close camera not fight   fix simple easy predictable parameter glpolygonoffset standardise meaning vary effect platform platform gpu gpu \n unwrap object texture   associate vertex texture coordinate vertex shader   plus wish add   value x vertex tell second texture wish use \n usual way draw quad twice   texture opacity draw quad second texture vertex alpha set fade second texture want  \n code opengl   people generally use hacky way achieve similar effect \n d get tricky draw exactly overlap depth buffer   ignore rest answer \n believe directly possible opengl x   opengl   use texture combiner merge texture way specify different set texture coordinate texture believe possible set different opacity different texture vertex single draw', 'draw texture dd draw triangle texture map shader triangle form rectangle quad short quadrilateral draw texture \n dd need fill vertex buffer vertex position texture coordinate triangle want render need simple pair shader vertex pixel pass position texture coordinate pixel shader need use texture coordinate get vertex shader fetch texture texture color pixel shader output \n directd lowlevel rendering system job life easy like xna job provide barebone interface graphic hardware \n yes   call directx tool kit fullfeature mature xna job create member orignal xna team worth check', 'suggest read deferred shading need convert fix programmable cool   mean render scene intermediate buffer texture channeltexture render color info depth normal use renderpass use texture input lighting second pass \n edit original intention ask tutorial explain bare minimum necessary jump fixedfunction shader \n ve write fairly robust rendering engine opengl es   fixedfunction ve look revamp engine use opengl es   necessitate use shader ve absorb information day long question \n start   push light info uniform shader program use vertex pixel shader depend want vertex lighting pixel lighting \n bring question concern datum m allocate shader recent video card hundred stream processor ve get fragment shader number fragment give triangle assume stack work readonly variable copy read needed \n firstly light fixedfunction pipeline guarantee   light available current engine find light close primitive draw enable not know light go enable draw give model dynamically allocate glsl define shader number light right want stick   write general purpose shader   light use uniform tell   light use \n initial goal rework code virtually identical current implementation mind create matrix stack implement line pushpopmatrix apply translation rotation scale matrix provide matrix vertex shader quick vertex translation approach sound \n ps modern hardware fix function pipeline implement programmable pipeline shader default enable driver maybe find source exact result opengl   implementation']"
5,186,5_address_ip_router_nat,"['address', 'ip', 'router', 'nat', 'subnet', 'network', 'route', 'packet', 'gateway', 'mac']","['reason private ip address lieu hardware address mac address \n local traffic need l routing cumbersome communicate l dns instance l helper protocol l l arp \n important aspect ip addressing small home network need multiple route network nearly connect outside ip network ie isp need layer   network  \n important thing ips able route network private not subnet mean not reason well management example split subnet suppose network subnet like \n b c ip address class subdivision ip address space initial bit ip address determine length network identifier address probably like good idea   way turn hugely wasteful practice internet grow mind   commodity internet access reasonably commonplace outside purely academic sector country happen   \n ip address logical construction assign hierichally organization control large small portion ip address space facilitate use route purpose easy tell ip address belong belong need knowledge entire network network interface necessarily ip address attach host ip stack exist exist initialize possibility single ip address address multiple host single network interface multiple ip address \n day networking textbook talk class class b class c ip space throw immediately relevant modern networking book describe maintain ford model t presentday racecar mechanic colloquial speech class b c refer cidr netmask length      bit correspond initial network portion length ip address have ip address space network reside ip address class \n recognize early beneficial system network especially large network comprise disparate system internet speak common protocol motivation design internet protocol ip relate protocol tcp udp icmp run ip stack ip run physical networking layer ethernet twistedpair ethernet coaxial cable token ring wifi etc \n mac address layer   let machine local network communicate ethernet packet ip address layer layer   allow machine exchange ip packet unlike ethernet packet route different network \n scenario not ip table mac address like switch scenario private ips router choose path look destination subnet \n classful ip addressing deprecate   classless interdomain route cidr introduce \n point recognize host speak ip need able speak directly host internet host speak ip need speak host internet network isolate internet ip address assign network operator feel practical network need connect network point internet pick address random coordination work thing turn leaf site host benefit ip not need connect directly internet especially situation ip address space scarce useful use case allow specific ip range set aside use private internet thing network address translation practically usable technique conservation ip address space nat way bridge host internet proxy server \n technically mac address fairly specific ethernet relate technology important detail ethernet physical networking protocol existence contemporary hardware certainly commonly one \n ip subnet class b c long exist having replace cidr variablesize subnet exist difference size     class c   class b   class usable ip address assume configure single big subnet class b certainly practice \n mac address address physical ethernet network adapter ethernet mac address structure facilitate route structure base hardware manufacturer location network fact exist type networking hardware make unsuitable use internetwork network connect disparate network internet \n private ip address mean need coordinate employer ensure not use ip address network home administrator work datacenter need coordinate ensure ip assignment not collide private ip address mean not need concern physical network hardware use end internet link need concern fact end speak ip end use different ip address allocation avoid conflict \n private internet easily span multiple location require subnette route home network case single subnet host connect single gateway large network trivial case home network consist logically electrically separate network subnet limited routing connect workplace network vpn link degree traffic flow happen direction network remain separate large datacenter connect vpn link globally routable address vpn concentrator end vpn link \n suppose router interface connect network b packet receive network b router find destination', 'need set default route switch point internet gateway internet gateway interface network route internet gateway bring traffic switch \n client know detail dhcp server give typically ip address subnet mask default gateway dns server \n course packet send local destination dns server file server directory server   ip address require translate arp \n assume call router actually homesmall buisness gateway device device typically combination logical device intend provide network box \n frame deliver directly host host local lan pass router router need use arp resolve mac address ip address send frame host \n depend client configure want switch route internal network need tell dhcp server internal network hand switch ip default gateway client \n ip local subnet treat onlink arp find mac address destination arp find mac address default gateway \n order actually pass ip packet gateway packet need encapsulate ethernet frame address gateways mac address   need learn arp ipv \n source host include router ip address destination host resolve ip address mac address lan ipv use arp look arp table not find entry ip address send arp request need mac address order build frame lan \n   know layer   switch ethernet switching functionalityfast relatively basic ip route functionality dhcp server functionality tell nat stateful firewalling support public ip machine prepared leave machine open internet not use internet gateway \n client not know care function box hardware implement function care box ethernet switch functionality particular tend dedicated hardware ip routing wifi bridge stuff software embedded cpu \n ip address subnet mask default gateway client fill routing table default route create default gateway setting onlink route create ip address subnet mask \n client boot configure dhcp know ip address network mask default gateways ip address plus option like dns server', 'routing different   local address router pass packet forth translation   work wire computer crossover cable    need router external ip address work \n connection internet type nat depend connection originate \n suppose computer lan connect router share public ip address port   forward router second connect private ip address eg ssh root connect public ip address eg ssh root \n use external address router translate destination forward packet   know nat network address translation   case dnat destination nat   router router support hairpin nat will not able connect external ip address inside local network   nat router need work noticeable decrease speed connection \n access public ip entirely depend router   router allow traffic translate internal ip   allow \n bar sort client isolation traffic local network host communicate directly involve router \n mean packet route exactly know server host   connect public ip address   connect private ip address mean packet outside lan case route hardware resolve short path lan']"
6,186,6_excel_cell_column_formula,"['excel', 'cell', 'column', 'formula', 'sheet', 'row', 'workbook', 'chart', 'worksheet', 'date']","['change formula remove datum validation select range open datum validation window change allow value \n formula place select cell want protect data tab select data validation change allow option custom enter formula field prevent change formula cell allow format conditional formatting \n example enter simple formula column h datum validate show color change validation \n lock protect formula cell allow formatting cell excel   try check unchecking lock hide work \n populate cell b formula    anytime worksheet change   able change format cell formula   repeat process cell want control formula', 'reason change way input excel mean work number type number fast type string save time think \n open vba   macro alt f thisworkbook insert new module paste code right \n not want use temporary variable replace cell value formula long \n formula cell d take total number work day cell b divide number resource specify cell c resource separate comma \n want well use temporary variable use cell store temporary value hide example set width column g  \n use function column c search number input column d e correct resource function extend \n achieve goal complicated mate mention well way achieve goal think numerically change way cell work effective instance column d   e manually modify column c statement search d e column number input easy modify add function sheet', 'prefix formula multiply cell left position b matter current cell copy formula b b b etc give desire result \n prefix apply press f appropriate cell select formula   example set formula cell b press f cell b add formula   copy cell b b etc \n   prefix b ab excel treat rowcolumn value relative current cell copy excel look formula source cell   multiply cell left   row relative current cell   repeat cell    copy b b cell row b b d end formula ab example b result zero \n note repeat press f cell select cycle   variation fix column fix row fix column fix row \n   prefix row column index tell excel copy cell row column not change rowcolumn value  \n master row   copy cell contain good formula paste cell column']"
7,168,7_update_wsus_office_installer,"['update', 'wsus', 'office', 'installer', 'window', 'program', 'install', 'patch', 'microsoft', 'instal']","['understand process actual update apply check handle client download list available update product check obviously update available product check long \n guy opinion have update relevant small selection host effect performance wsus   claim update check host similar   argument manually update server obviously work admin pay attention need \n  yes course client machine go state builtin mechanism mention reduce number package install microsoft mercy \n  wsus download rollup package reduce need lot small package distribution client installation perspective ideal take time install individual update \n update approve static content disk highly fragmented time download go sit disk fairly sequentially \n recommend point server wsus report purpose process patch manual \n wsus server serve   pc couple dozen server discussion come work product include \n single sql   instance server update thought tick box sql   let wsus thing upgrade late service pack \n time perform update significantly long time check update secondly check update background task performance not matter checkforupdate design bolt perform randomly week take   second instead   matter updateapplication method manually update console autoupdate checkforupdate turn antipattern not \n basically m need rebuttal argument m unable find concrete documentation prove wrong', 'wsus solve question location computer download window update patch normal window update take internet versus wsus local server cache copy window update patch say moderate large environment wsus server reduce internet traffic \n far specific question gp option force use microsoft update product update window certainly configure instal install solution involve script involve run download package find look high low luck look update find \n general info gp wu group policy tell client computer download install patch use wsus server instead go internet \n open group policy management console click default domain policy computer configuration right click window setting click edit tell not find gpeditmsc copy cwindowssystemgpeditmsc cwindowssyswow \n computer configurationadministrative templateswindow componentswindows update change want gpupdate force computer want change location wsus server configure specify intranet microsoft update service location option', 'new download install ui element window update screen automatically update yesterday course click \n microsoft reason user upgrade window year order run smoothly prefer half year actually good thing refresh window keep thing run fast smart wait upgrade know sure issue particular version new version come usually wait month upgrade \n change hide window update setting like group policy registry previously configure semi annual update channel target update later option remove gui update assume manual install feature update \n order new window update functionality literally need update window   v use new window update functionality \n understand microsoft change way window   automatically install feature update start version   eg official microsoft blog post say \n yesterday private window   pro x version   automatically download instal feature update   play game far understand not happen   home pro support    case soon reach end service mention blog post apply \n mind   release half year old microsoft roll upgrade like course year specifically tell \n v stable point issue upgrading happen \n window version prior   software setting window update new way give deep window update weave window easy change way window update work previous version simply distribute update \n      set active hour restart occur outside hour active hour set     pm restart occur   pm']"
8,165,8_vpn_openvpn_route_tunnel,"['vpn', 'openvpn', 'route', 'tunnel', 'client', 'traffic', 'network', 'connection', 'connect', 'ipsec']","['want use vpn request external resource mean ip   plenty internal server want access course server accessible connect external vpn server \n see info opposite thing vpn range want use internal ip request   range \n window open command prompt type route print    entry low metric use \n corporate vpns allow local traffic connect vpn step sure vpn allow quick test connect vpn attempt ping internal address default gateway example   not vpn allow check setting vpn software \n route traffic vpn traffic target range   example', 'edit assume openvpn wording post unclear openvpn open vpn connect not openvpn explain connect vpn \n m try rsync outside vpn connection centos   machine open vpn connection capable roughly mbps wan connection mbps m try rsync mirrorsuscedu obviously prefer bypass vpn connection \n not openvpn able add ip route high priority vpn connection local network interface gateway \n client route vpn netgateway s vpn keyword directly \n ip address servers nic ip vpn ip work fine vpn not connect connect error log \n suggestion specifically m try pull rsync vpn connect route vpn', 'use iptable dhcp server share internet connection enable vpn local local traffic go vpn vpn local network directly internet \n excommand iptable forward eth o tun s   m conntrack ctstate new j accept \n change vpn configuration setup default gateway vpn \n cento linux   base software router   local network let local local internet connection vpn connection run internet \n question follow set centos base software router forward local network vpn directly \n add static route forward traffic local subnet vpn gateway \n believe priority matter sure route vpn network high priority default route \n likely vpn consist specific network set network   want set split tunneling pseudo traffic destine vpn network vpn connection     default route set internet connection \n need use vpn default gateway define traffic go old default gateway']"
